service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
169801_merged_15288050,20260105,20260419,0,0,0,0,0,0,0
1803_merged_15288049,20260105,20260419,0,0,0,0,0,0,0
155601_merged_15288076,20260420,20260607,0,0,0,0,0,0,0
62201_merged_15288037,20260105,20260419,0,0,0,0,0,0,0
162601_merged_15288058,20260420,20260607,0,0,0,0,0,0,0
1201_merged_15288056,20260420,20260607,0,0,0,0,0,0,0
1201_merged_15288034,20260105,20260419,0,0,0,0,0,0,0
101_merged_15288070,20260420,20260607,0,0,0,0,0,0,0
1101_merged_15288074,20260420,20260607,0,0,0,0,0,0,0
1101_merged_15288052,20260105,20260419,0,0,0,0,0,0,0
2001_merged_15288073,20260420,20260607,0,0,0,0,0,0,0
162503_merged_15288046,20260105,20260419,0,0,0,0,0,0,0
-999_merged_15288066,20260420,20260607,1,1,1,1,1,1,1
1_merged_15288041,20260105,20260419,1,1,1,1,1,0,0
801_merged_15288075,20260420,20260607,0,0,0,0,0,0,0
152301_merged_15288069,20260420,20260607,0,0,0,0,0,0,0
62101_merged_15288039,20260105,20260419,0,0,0,0,0,0,0
253403_merged_15288040,20260105,20260419,0,0,0,0,0,0,0
4901,20260420,20260607,0,0,0,0,0,0,0
4903,20260420,20260607,0,0,0,0,0,0,0
4902,20260420,20260607,0,0,0,0,0,0,0
253403_merged_15288062,20260420,20260607,0,0,0,0,0,0,0
701_merged_15288035,20260105,20260419,0,0,0,0,0,0,0
2001_merged_15288051,20260105,20260419,0,0,0,0,0,0,0
801_merged_15288053,20260105,20260419,0,0,0,0,0,0,0
62201_merged_15288059,20260420,20260607,0,0,0,0,0,0,0
3_merged_15288064,20260420,20260607,0,0,0,0,0,0,1
401,20260105,20260419,0,0,0,0,0,0,0
1901_merged_15288060,20260420,20260607,0,0,0,0,0,0,0
155601_merged_15288054,20260105,20260419,0,0,0,0,0,0,0
201,20260105,20260419,0,0,0,0,0,0,0
169801_merged_15288072,20260420,20260607,0,0,0,0,0,0,0
152301_merged_15288047,20260105,20260419,0,0,0,0,0,0,0
1803_merged_15288071,20260420,20260607,0,0,0,0,0,0,0
701_merged_15288057,20260420,20260607,0,0,0,0,0,0,0
1_merged_15288063,20260420,20260607,1,1,1,1,1,0,0
32603_merged_15288033,20260105,20260419,0,0,0,0,0,0,0
259701,20260105,20260419,0,0,0,0,0,0,0
259703,20260105,20260419,0,0,0,0,0,0,0
259702,20260105,20260419,0,0,0,0,0,0,0
101_merged_15288048,20260105,20260419,0,0,0,0,0,0,0
-999_merged_15288044,20260105,20260419,1,1,1,1,1,1,1
32603_merged_15288055,20260420,20260607,0,0,0,0,0,0,0
3_merged_15288042,20260105,20260419,0,0,0,0,0,0,1
62101_merged_15288061,20260420,20260607,0,0,0,0,0,0,0
2_merged_15288043,20260105,20260419,0,0,0,0,0,1,0
92501,20260105,20260419,0,0,0,0,0,0,0
2_merged_15288065,20260420,20260607,0,0,0,0,0,1,0
162503_merged_15288068,20260420,20260607,0,0,0,0,0,0,0
1901_merged_15288038,20260105,20260419,0,0,0,0,0,0,0
152201_merged_15288045,20260105,20260419,0,0,0,0,0,0,0
162601_merged_15288036,20260105,20260419,0,0,0,0,0,0,0
152201_merged_15288067,20260420,20260607,0,0,0,0,0,0,0
