direction,direction_id,route_id,route_short_name
EAST,0,6612,002
NORTH,0,6613,003
EAST,0,6614,004
EAST,0,6615,005
EAST,0,6616,006
EAST,0,6617,007
EAST,0,6618,008
EAST,0,6619,009
NORTH,0,6620,010
NORTH,0,6621,015
EAST,0,6622,016
NORTH,0,6623,017
EAST,0,6624,019
NORTH,0,6625,020
EAST,0,6626,022
EAST,0,6627,025
EAST,0,6628,026
NORTH,0,6629,027
NORTH,0,6630,028
NORTH,0,6631,029
EAST,0,6633,041
EAST,0,6635,044
EAST,0,6636,049
NORTH,0,6637,050
EAST,0,6638,084
EAST,0,6641,099
EAST,0,6642,100
EAST,0,6643,101
NORTH,0,6644,104
EAST,0,6645,106
EAST,0,6646,110
EAST,0,6647,112
EAST,0,6648,116
EAST,0,6649,123
EAST,0,6650,129
NORTH,0,6651,130
EAST,0,6652,134
EAST,0,6654,136
EAST,0,6656,143
NORTH,0,6657,144
NORTH,0,6658,145
EAST,0,6659,151
EAST,0,6660,152
EAST,0,6661,153
EAST,0,6662,128
EAST,0,6663,155
EAST,0,6664,156
EAST,0,6665,157
EAST,0,6666,159
EAST,0,6667,160
EAST,0,6668,169
NORTH,0,6672,210
EAST,0,6673,211
EAST,0,6674,212
EAST,0,6675,214
NORTH,0,6676,228
EAST,0,6677,229
NORTH,0,6678,230
EAST,0,6679,232
NORTH,0,6680,236
EAST,0,6682,240
NORTH,0,6683,241
NORTH,0,6685,246
NORTH,0,6686,247
EAST,0,6687,250
EAST,0,6688,251
EAST,0,6689,252
EAST,0,6690,253
NORTH,0,6691,254
EAST,0,6692,255
EAST,0,6693,257
EAST,0,6698,301
NORTH,0,6699,311
NORTH,0,6700,312
EAST,0,6701,314
NORTH,0,6702,316
NORTH,0,6703,319
EAST,0,6704,320
NORTH,0,6705,321
NORTH,0,6706,323
NORTH,0,6707,324
NORTH,0,6708,325
EAST,0,6709,326
NORTH,0,6710,329
EAST,0,6712,335
EAST,0,6713,340
NORTH,0,6714,345
NORTH,0,6715,351
NORTH,0,6716,352
NORTH,0,6717,354
NORTH,0,6718,391
NORTH,0,6719,393
NORTH,0,6720,394
EAST,0,6721,395
EAST,0,6722,401
NORTH,0,6723,402
NORTH,0,6724,403
EAST,0,6725,404
NORTH,0,6726,405
NORTH,0,6727,407
EAST,0,6728,410
EAST,0,6730,430
NORTH,0,6737,501
EAST,0,6738,502
EAST,0,6739,509
NORTH,0,6741,601
